Date,Open,High,Low,Close,Volume
2021-08-20,190.192,192.407,189.806,191.813,1277874.0073001
2021-08-23,192.575,193.563,191.635,192.505,572678.59681198
2021-08-24,193.138,194.057,192.614,193.385,428783.52012977
2021-08-25,194.027,194.513,192.703,193.761,407438.91013138
2021-08-26,193.345,193.849,192.614,193.533,497770.18158639
2021-08-27,194.315,194.937,193.573,194.177,639878.11242577
2021-08-30,194.374,194.453,192.999,193.653,407355.97523658
2021-08-31,193.761,195.185,193.691,194.73,809042.03559205
2021-09-01,195.412,195.412,192.999,194.235,807063.73493072
2021-09-02,194.73,196.766,194.73,196.668,975767.47057097
2021-09-03,196.381,197.261,195.6,196.826,906503.68519759
2021-09-07,196.065,197.607,195.165,196.757,1436882.4514579
2021-09-08,196.549,199.308,195.966,198.714,1117007.6192184
2021-09-09,199.308,200.721,198.102,198.14,1272877.6855889
2021-09-10,199.258,199.436,195.956,195.995,1074885.7952702
2021-09-13,196.707,197.242,191.951,193.879,1527352.2848713
2021-09-14,194.849,194.849,190.488,191.19,1036541.5546401
2021-09-15,191.141,193.919,190.636,192.96,957505.61129638
2021-09-16,193.375,193.959,189.41,189.46,843183.90441862
2021-09-17,188.728,190.35,188.184,189.698,2800217.8336463
2021-09-20,188.61,189.154,185.743,188.056,967307.09990017
2021-09-21,188.54,189.362,185.387,185.871,746981.44925242
2021-09-22,187.413,189.53,186.988,188.362,718284.96425032
2021-09-23,190.162,192.387,189.578,191.279,657316.69115929
2021-09-24,191.18,192.614,191.151,191.932,482313.94911883
2021-09-27,192.643,194.631,191.942,192.268,664412.6816705
2021-09-28,192.297,193.167,189.905,191.615,913116.22595618
2021-09-29,192.585,193.979,191.605,192.871,691291.67879509
2021-09-30,193.425,193.949,190.568,190.587,1089808.0079273
2021-10-01,191.783,193.761,188.669,192.703,901895.74153038
2021-10-04,192.169,194.196,190.35,192.021,877531.08767987
2021-10-05,192.713,194.117,191.151,192.643,986509.56224994
2021-10-06,191.635,193.869,189.578,193.821,747909.91551373
2021-10-07,195.501,197.746,195.353,197.3,679133.62549758
2021-10-08,197.508,198.378,196.44,197.686,739353.4617331
2021-10-11,198.052,201.315,197.458,198.418,717442.46708729
2021-10-12,198.418,200.939,198.25,199.08,814165.79384886
2021-10-13,198.912,199.574,196.51,198.922,689222.35202971
2021-10-14,200.217,201.157,198.932,200.633,753678.94770814
2021-10-15,201.226,204.34,201.226,203.49,1100925.3294352
2021-10-18,202.373,203.697,201.226,202.115,604759.23008241
2021-10-19,202.531,204.439,201.523,204.034,762743.12486913
2021-10-20,204.034,205.022,203.401,203.865,960580.27081093
2021-10-21,203.391,203.629,200.652,203.471,850062.44368126
2021-10-22,204.123,205.596,202.917,204.914,785106.21583172
2021-10-25,204.469,205.022,203.233,203.341,687660.74864469
2021-10-26,194.829,201.018,194.275,200.079,1897217.6420534
2021-10-27,200.484,204.123,196.846,201.265,1164362.4327483
2021-10-28,202.699,202.927,196.668,198.16,1144860.5956563
2021-10-29,198.15,199.565,196.925,198.29,1518893.9370028
2021-11-01,198.348,199.367,195.383,197.458,784940.34604212
2021-11-02,198.062,198.992,196.549,197.32,866960.93419743
2021-11-03,196.529,196.826,193.267,196.786,1368435.8782187
2021-11-04,196.322,196.757,193.267,193.811,1163938.6556639
2021-11-05,195.857,196.934,194.631,196.579,1336103.4060603
2021-11-08,197.478,198.704,195.689,198.19,1110621.6323188
2021-11-09,198.358,199.15,196.806,198.418,681904.8646653
2021-11-10,198.616,199.278,196.678,196.905,639221.71307546
2021-11-11,196.361,197.024,194.443,194.71,924931.41426178
2021-11-12,194.71,197.024,194.167,196.549,965294.41159953
2021-11-15,197.607,197.607,195.758,196.648,695229.06349581
2021-11-16,196.49,197.261,194.325,194.374,879415.32803368
2021-11-17,194.305,195.709,194.305,195.076,631455.16359774
2021-11-18,195.353,195.353,192.495,193.653,766821.09433054
2021-11-19,193.455,194.027,191.744,192.001,810189.97590423
2021-11-22,192.871,196.164,192.307,194.977,705655.59801407
2021-11-23,195.511,197.3,195.105,195.897,618025.77904701
2021-11-24,195.679,196.233,193.711,194.374,535931.35860731
2021-11-26,189.934,190.27,186.612,189.114,866357.12770724
2021-11-29,190.726,191.497,188.886,190.172,898362.91729212
2021-11-30,188.264,189.46,184.497,184.823,2130831.0810901
2021-12-01,187.779,190.231,185.267,185.287,1350234.7030134
2021-12-02,187.235,192.465,186.138,190.212,1274450.4143866
2021-12-03,190.439,193.711,190.29,193.287,1456203.2477429
2021-12-06,195.679,197.468,194.325,195.185,838913.76873755
2021-12-07,195.61,196.766,194.591,194.937,899981.15914188
2021-12-08,195.461,198.29,195.461,196.46,798628.64928881
2021-12-09,195.61,197.696,194.315,197.498,959183.52581436
2021-12-10,198.704,201.325,197.073,200.425,1061336.0539819
2021-12-13,198.418,200.514,197.578,199.021,1040066.287669
2021-12-14,200.207,202.027,197.854,199.001,1186421.0919629
2021-12-15,199.506,201.819,198.882,201.711,798816.76990386
2021-12-16,202.115,204.489,201.394,201.651,1053253.9473435
2021-12-17,201.523,201.819,197.746,197.756,2763845.8252705
2021-12-20,196.579,196.974,192.693,194.315,990879.82664546
2021-12-21,195.511,199.772,195.205,198.824,1279946.3682689
2021-12-22,198.962,200.385,198.804,199.288,622155.32996737
2021-12-23,200.336,201.325,199.308,200.188,680767.0383647
2021-12-27,200.563,202.659,200.049,202.581,868306.09773505
2021-12-28,201.967,204.281,201.967,203.105,919765.1771564
2021-12-29,203.203,203.975,201.601,203.322,731792.22669008
2021-12-30,203.134,204.746,202.629,202.975,734744.50666474
2021-12-31,202.769,204.864,201.799,203.895,887868.61889639
2022-01-03,204.409,204.943,201.611,202.907,738738.52983019
2022-01-04,204.479,207.791,203.639,207.396,1154876.5013052
2022-01-05,208.098,209.719,205.418,205.695,896171.21098683
2022-01-06,207.86,209.343,205.517,207.088,883529.70793671
2022-01-07,207.9,209.175,207.02,207.435,1440176.5850233
2022-01-10,207.93,209.976,204.894,205.982,1263047.8777527
2022-01-11,205.982,207.108,204.825,206.93,1044673.2199351
2022-01-12,207.346,208.028,206.002,207.276,990459.08376452
2022-01-13,207.93,209.61,206.94,207.89,779348.30905003
2022-01-14,207.0,210.105,206.07,209.59,1129534.8339379
2022-01-18,208.641,209.007,205.537,207.682,1123278.3063863
2022-01-19,207.662,209.927,206.902,206.902,840774.74686478
2022-01-20,207.01,209.462,205.052,205.546,948717.546651
2022-01-21,205.814,207.426,202.927,203.144,1257966.5983444
2022-01-24,201.077,204.143,197.35,203.678,1489013.1012469
2022-01-25,201.631,203.441,197.626,202.571,1795516.1988015
2022-01-26,200.811,206.694,197.478,201.552,2021667.5201085
2022-01-27,201.711,208.147,201.711,205.368,2442961.6146773
2022-01-28,206.387,209.501,202.847,209.323,1525483.2155348
2022-01-31,207.0,209.126,204.953,208.612,1592576.5340272
2022-02-01,208.7,210.095,206.298,209.373,1394641.2821733
2022-02-02,208.809,210.925,207.138,210.559,1920219.9385467
2022-02-03,204.419,209.739,204.419,208.681,1403840.9870892
2022-02-04,209.996,212.655,207.316,208.8,1486821.3949417
2022-02-07,209.768,210.411,208.108,208.632,1062894.6231635
2022-02-08,209.847,211.529,208.394,210.935,1082370.1638254
2022-02-09,212.171,212.616,210.975,211.895,1055261.5786384
2022-02-10,210.233,212.241,206.852,208.038,1120778.1227283
2022-02-11,208.156,211.409,207.396,210.243,1226350.1982047
2022-02-14,210.233,211.103,206.574,207.692,1248062.9582239
2022-02-15,208.493,210.649,207.534,209.274,701693.93968562
2022-02-16,209.185,211.775,209.027,210.885,827739.80876493
2022-02-17,210.213,212.003,208.75,210.875,1031273.1660179
2022-02-18,210.312,215.008,210.312,212.27,1635946.4270021
2022-02-22,216.383,216.482,211.587,213.259,2206394.8842648
2022-02-23,214.475,215.276,212.26,212.715,1773462.5965927
2022-02-24,213.229,215.335,207.93,214.94,2097245.4828993
2022-02-25,214.969,224.451,214.969,224.234,2012677.1752319
2022-02-28,226.004,231.125,225.37,230.591,3339770.0083924
2022-03-01,231.135,233.132,228.287,229.483,2117320.7844468
2022-03-02,231.135,232.746,225.39,231.876,2826792.3990229
2022-03-03,232.885,235.822,232.282,234.21,1906753.1321532
2022-03-04,232.212,241.516,231.194,241.259,3372872.1568305
2022-03-07,241.477,250.8,241.447,243.226,4871916.3347436
2022-03-08,243.316,243.78,231.382,231.441,2816080.6493786
2022-03-09,231.115,234.496,227.813,232.914,2466020.5496353
2022-03-10,232.104,234.882,230.483,231.649,1603413.6974149
2022-03-11,231.926,235.02,228.554,228.653,1835134.8048884
2022-03-14,230.492,231.728,226.676,229.987,1402644.4995215
2022-03-15,231.58,234.486,229.583,233.716,1165088.6187784
2022-03-16,230.581,232.489,220.683,223.947,2498745.4454421
2022-03-17,226.646,228.594,224.006,226.715,1741148.3296553
2022-03-18,226.834,227.318,224.826,226.448,2648802.9893685
2022-03-21,227.2,234.566,227.19,232.183,1592627.104085
2022-03-22,232.262,233.972,230.245,233.923,1177312.413151
2022-03-23,234.774,237.69,234.308,235.752,1393301.1756414
2022-03-24,236.049,239.361,235.198,237.037,1199182.9517506
2022-03-25,236.869,240.419,236.415,240.34,1146511.2023431
2022-03-28,238.531,239.065,235.544,236.929,1268132.1913644
2022-03-29,233.428,237.225,230.275,237.127,1670977.3174448
2022-03-30,238.017,241.586,238.017,240.3,1400872.524696
2022-03-31,238.155,241.526,237.186,237.215,1338332.5342084
2022-04-01,237.205,239.243,235.278,238.521,1021709.3566858
2022-04-04,238.501,238.521,233.063,235.298,1177890.9346123
2022-04-05,234.684,238.689,234.684,235.218,1227453.6368659
2022-04-06,235.1,238.065,234.822,236.8,1423173.9201881
2022-04-07,236.701,241.971,235.159,240.864,1280771.6716122
2022-04-08,242.159,243.356,238.877,239.311,1093722.1304014
2022-04-11,241.556,244.126,239.025,240.805,1406252.1674453
2022-04-12,240.567,243.246,239.371,241.072,763244.77984256
2022-04-13,242.198,243.87,239.806,240.963,760129.66428176
2022-04-14,242.04,243.198,240.261,240.992,968446.9490031
2022-04-18,240.676,245.926,240.557,241.111,1034179.9329405
2022-04-19,241.338,244.354,240.34,243.81,1196216.5121598
2022-04-20,244.512,246.875,243.306,244.898,872329.45153402
2022-04-21,245.204,245.452,239.045,239.331,1279411.3370574
2022-04-22,238.441,239.697,235.861,236.098,1088688.3868475
2022-04-25,236.326,237.067,232.203,236.484,1542531.393422
2022-04-26,235.94,238.897,234.26,234.26,1311856.074744
2022-04-27,234.981,244.216,234.442,237.275,2308001.255808
2022-04-28,239.697,240.537,236.652,238.481,1460068.8229615
2022-04-29,238.283,239.272,233.33,233.864,1860606.9430048
2022-05-02,233.864,235.871,227.833,230.621,1796941.2630305
